label,world_size,per_gpu_batch,grad_accum,effective_batch,tokens_per_sec,peak_mem_gb,activation_ckpt
 ,8,4,1,32,3230,7.08,False
 ,8,4,1,32,3197,7.08,False
 ,4,4,2,32,1812,11.29,False
 ,2,4,4,32,546,12.94,False
 ,8,4,1,32,3104,7.08,False
 ,4,4,2,32,1683,11.29,False
 ,2,4,4,32,545,12.94,False
 ,8,4,1,32,2353,4.18,True
 ,4,4,2,32,1419,8.28,True
 ,2,4,4,32,556,9.93,True
 ,8,4,1,32,3125,7.08,False
 ,4,4,2,32,1716,11.29,False
 ,8,4,1,32,2076,4.18,True
 ,4,4,2,32,1392,8.28,True
 ,2,4,4,32,482,9.93,True
 ,8,4,1,32,1964,4.18,True
 ,4,4,2,32,1334,8.28,True
 ,2,4,4,32,534,9.93,True
 ,8,4,1,32,2139,4.18,True
